id,store_id,group_order_id,order_external_id,order_status,order_total_amount,order_currency,order_created_at,order_updated_at,customer_email,customer_phone_number,client_ip,shipping_first_name,shipping_last_name,shipping_address_1,shipping_address_2,shipping_city,shipping_state,shipping_postcode,shipping_country_code,product_external_id,product_title,product_description,product_vendor,product_type,variant_external_id,variant_title,variant_sku,variant_price,variant_attributes,variant_image_id,variant_image_src,line_item_external_id,line_item_quantity,line_item_unit_price,line_item_total_price,line_item_currency,line_item_subtotal,created_at,updated_at
6fe6d6ae-34de-46ee-8321-c2b3c69b69d4,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000001,A_O1,completed,618.24,EUR,2024-02-06T12:14:36+00:00,2024-02-06T06:21:43+00:00,amanda32@example.net,,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_23,Product A-23,fashion product,Default Vendor,fashion,A_V123,Product A-23 - Red - M,A-P23-CRe-SM,156.32,"Color: Red, Size: M",,,A_L1,1,156.32,151.23999999999998,EUR,151.23999999999998,2025-10-22T15:28:25.747889+00:00,2025-10-22T15:28:25.747889+00:00
14bb62e4-45b8-49a6-a26e-6a688e5f2135,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000001,A_O1,completed,618.24,EUR,2024-02-06T13:55:50+00:00,2024-02-06T05:07:07+00:00,amanda32@example.net,,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_4,Product A-4,fashion product,Default Vendor,fashion,A_V14,Product A-4 - Beige - XL,A-P4-CBe-SXL,36.32,"Color: Beige, Size: XL",,,A_L2,2,36.32,65.88,EUR,65.88,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
35ccb88d-1da6-423e-a89b-2685dccfbae1,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000001,A_O1,completed,618.24,EUR,2024-02-06T22:00:36+00:00,2024-02-06T01:33:27+00:00,amanda32@example.net,,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_9,Product A-9,fashion product,Default Vendor,fashion,A_V46,Product A-9 - Red - XL,A-P9-CRe-SXL,152.39,"Color: Red, Size: XL",,,A_L3,3,152.39,445.12999999999994,EUR,445.12999999999994,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
ba6b1b56-f4ef-4ba6-95dd-44a2fa76a59e,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000002,A_O2,completed,281.4,EUR,2024-06-30T22:58:43+00:00,2024-06-30T07:22:34+00:00,amanda32@example.net,,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_11,Product A-11,fashion product,Default Vendor,fashion,A_V62,Product A-11 - Red - XL,A-P11-CRe-SXL,49.12,"Color: Red, Size: XL",,,A_L4,1,49.12,39.12,EUR,39.12,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
bc530c94-bab1-433a-ae5d-c90e2334f22a,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000002,A_O2,completed,281.4,EUR,2024-06-30T15:21:01+00:00,2024-06-30T01:50:17+00:00,amanda32@example.net,,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_3,Product A-3,fashion product,Default Vendor,fashion,A_V9,Product A-3 - Black - M,A-P3-CBl-SM,83.53,"Color: Black, Size: M",,,A_L5,1,83.53,70.47,EUR,70.47,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
3772a81e-3318-41d0-9b8b-823d76526cf6,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000002,A_O2,completed,281.4,EUR,2024-06-30T02:21:00+00:00,2024-06-30T06:18:22+00:00,amanda32@example.net,,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_3,Product A-3,fashion product,Default Vendor,fashion,A_V7,Product A-3 - Green - M,A-P3-CGr-SM,95.26,"Color: Green, Size: M",,,A_L6,2,95.26,176.9,EUR,176.9,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
e983c499-82a6-4a4c-921d-721f80b1763b,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000003,A_O3,completed,1408.72,EUR,2026-07-01T07:24:46+00:00,2026-07-01T01:21:07+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_12,Product A-12,fashion product,Default Vendor,fashion,A_V65,Product A-12 - White - L,A-P12-CWh-SL,128.62,"Color: White, Size: L",,,A_L7,2,128.62,257.24,EUR,257.24,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
426e9c4d-594f-40fd-a6dd-bb7e090ac81e,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000003,A_O3,completed,1408.72,EUR,2026-07-01T07:36:34+00:00,2026-07-01T01:14:02+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_12,Product A-12,fashion product,Default Vendor,fashion,A_V66,Product A-12 - Red - XXL,A-P12-CRe-SXX,135.22,"Color: Red, Size: XXL",,,A_L8,1,135.22,135.22,EUR,135.22,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
3c826328-4718-49a2-929f-9c2bd083e84a,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000003,A_O3,completed,1408.72,EUR,2026-07-01T21:19:51+00:00,2026-07-01T21:10:39+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_12,Product A-12,fashion product,Default Vendor,fashion,A_V66,Product A-12 - Red - XXL,A-P12-CRe-SXX,135.22,"Color: Red, Size: XXL",,,A_L9,1,135.22,135.22,EUR,135.22,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
aa6db4fe-4b5c-404f-8f34-b967b086db66,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000003,A_O3,completed,1408.72,EUR,2026-07-01T02:02:01+00:00,2026-07-01T14:04:44+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_25,Product A-25,fashion product,Default Vendor,fashion,A_V134,Product A-25 - Black - L,A-P25-CBl-SL,97.95,"Color: Black, Size: L",,,A_L10,3,97.95,293.85,EUR,293.85,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
f21dc1cd-439e-4d13-bcb9-d22476eebadc,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000003,A_O3,completed,1408.72,EUR,2026-07-01T20:22:57+00:00,2026-07-01T23:33:10+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_30,Product A-30,fashion product,Default Vendor,fashion,A_V162,Product A-30 - Beige - L,A-P30-CBe-SL,195.73,"Color: Beige, Size: L",,,A_L11,3,195.73,587.1899999999999,EUR,587.1899999999999,2025-10-22T15:28:25.748891+00:00,2025-10-22T15:28:25.748891+00:00
7996b4ae-b2d7-4c56-86c4-c2bb211acfaf,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000004,A_O4,completed,1380.8,EUR,2025-04-30T19:32:37+00:00,2025-04-30T20:34:36+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_35,Product A-35,fashion product,Default Vendor,fashion,A_V191,Product A-35 - Green - S,A-P35-CGr-SS,189.1,"Color: Green, Size: S",,,A_L12,3,189.1,567.3,EUR,567.3,2025-10-22T15:28:25.749894+00:00,2025-10-22T15:28:25.749894+00:00
2475cd32-8e64-4967-a178-29f44d313eb2,1e27b743-d66d-41a4-8b4e-876b051a5948,00000000-0000-0000-0000-a00000000004,A_O4,completed,1380.8,EUR,2025-04-30T00:38:44+00:00,2025-04-30T14:46:59+00:00,alisa02@example.net,,,Reiner,Schneider,Bosshardstrasse 59,,Locarno,,3351,SW,A_13,Product A-13,fashion product,Default Vendor,fashion,A_V72,Product A-13 - Green - XS,A-P13-CGr-SXS,82.35,"Color: Green, Size: XS",,,A_L13,2,82.35,164.7,EUR,164.7,2025-10-22T15:28:25.749894+00:00,2025-10-22T15:28:25.749894+00:00
