id,ordered_variant_id,parent_order_external_id,refund_external_id,refund_date_created,refund_amount,refund_reason,refunded_by,refunded_payment,order_status,order_total_amount,order_currency,order_created_at,order_updated_at,customer_email,customer_phone_number,shipping_first_name,shipping_last_name,shipping_address_1,shipping_address_2,shipping_city,shipping_state,shipping_postcode,shipping_country_code,product_external_id,product_title,product_description,variant_external_id,variant_title,variant_sku,variant_price,variant_attributes,variant_image_id,variant_image_src,returned_line_item_external_id,returned_quantity,returned_unit_price,returned_subtotal,returned_subtotal_tax,returned_total,returned_total_tax,returned_currency,tax_class,taxes,profile_id,group_order_id,created_at,updated_at,category_id,category
38ec3ff0-9a27-4bcb-a527-a313076ab8ac,ba6b1b56-f4ef-4ba6-95dd-44a2fa76a59e,A_O2,A_R1,2024-07-07T10:50:39+00:00,44.21,Wrong size,system,True,completed,281.4,EUR,2024-06-30T16:16:48+00:00,2024-06-30T19:00:48+00:00,amanda32@example.net,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_11,Product A-11,fashion product,A_V62,Product A-11 - Red - XL,A-P11-CRe-SXL,49.12,"{""color"": ""Red"", ""size"": ""XL""}",,,A_L4,1,49.12,44.21,8.842,44.21,8.842,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000002,2025-10-22T15:45:27.782688+00:00,2025-10-22T15:45:27.782688+00:00,,fashion
a82365d5-1290-4441-9598-233c9f6c70a8,3772a81e-3318-41d0-9b8b-823d76526cf6,A_O2,A_R2,2024-07-07T19:00:33+00:00,82.29,Defective product,system,True,completed,281.4,EUR,2024-06-30T21:02:57+00:00,2024-06-30T08:51:03+00:00,amanda32@example.net,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_3,Product A-3,fashion product,A_V7,Product A-3 - Green - M,A-P3-CGr-SM,95.26,"{""color"": ""Green"", ""size"": ""M""}",,,A_L6,1,95.26,82.29,16.458000000000002,82.29,16.458000000000002,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000002,2025-10-22T15:45:27.782688+00:00,2025-10-22T15:45:27.782688+00:00,,fashion
e9e8da1c-6f67-4d49-9714-6bd8276b16bb,bc530c94-bab1-433a-ae5d-c90e2334f22a,A_O2,A_R3,2024-07-08T14:57:05+00:00,72.62,Item not as described,system,True,completed,281.4,EUR,2024-06-30T12:00:57+00:00,2024-06-30T02:13:07+00:00,amanda32@example.net,,Claire,Baldauf-Schönberger,Sarah-Radl-Gasse 86,,Schwaz,,7001,AU,A_3,Product A-3,fashion product,A_V9,Product A-3 - Black - M,A-P3-CBl-SM,83.53,"{""color"": ""Black"", ""size"": ""M""}",,,A_L5,1,83.53,72.62,14.524000000000001,72.62,14.524000000000001,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000002,2025-10-22T15:45:27.782688+00:00,2025-10-22T15:45:27.782688+00:00,,fashion
94577878-3e1a-4209-902b-da767a2c4ec5,fe44cffd-4bb4-406b-91ae-9fab8eea149d,A_O5,A_R4,2026-01-20T10:31:21+00:00,9.86,Changed mind,system,True,completed,48.51,EUR,2026-01-12T11:04:14+00:00,2026-01-12T10:26:58+00:00,kostolzindamian@example.net,,Ottomar,Mies,Raimund-Holsten-Straße 62/45,,Roding,,10341,GE,A_15,Product A-15,fashion product,A_V78,Product A-15 - Green - XXL,A-P15-CGr-SXX,10.86,"{""color"": ""Green"", ""size"": ""XXL""}",,,A_L16,1,10.86,9.86,1.972,9.86,1.972,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000005,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
0b63ed0a-829e-4d5f-a520-6d6f4a871d1c,e5528d40-40b9-4a1c-9756-d3d3e9f4685f,A_O8,A_R5,2025-11-03T03:30:03+00:00,177.2,Item not as described,system,True,cancelled,944.14,EUR,2025-10-28T07:46:38+00:00,2025-10-28T00:53:59+00:00,rauternick@example.net,,Katarina,Schmidl-Schenk,Veitgasse 05,,Frauenkirchen,,8648,AU,A_30,Product A-30,fashion product,A_V164,Product A-30 - Beige - S,A-P30-CBe-SS,188.79,"{""color"": ""Beige"", ""size"": ""S""}",,,A_L27,1,188.79,177.2,35.44,177.2,35.44,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000008,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
9fb0b2be-c2e0-4a2d-9011-d529f1f715a4,de2e63c0-8407-41e2-9577-ca930baddb25,A_O10,A_R6,2026-08-28T13:35:07+00:00,100.69,Wrong size,system,True,cancelled,287.71,EUR,2026-08-20T15:23:11+00:00,2026-08-20T08:33:51+00:00,rauternick@example.net,,Katarina,Schmidl-Schenk,Veitgasse 05,,Frauenkirchen,,8648,AU,A_6,Product A-6,fashion product,A_V25,Product A-6 - Black - XS,A-P6-CBl-SXS,57.97,"{""color"": ""Black"", ""size"": ""XS""}",,,A_L31,2,57.97,100.69,20.138,100.69,20.138,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000010,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
5a755748-7ac8-45bf-b7ff-c64beab6b7cb,18dd4dfa-ceb4-4f95-8357-d698f5f84743,A_O10,A_R7,2026-08-30T02:19:37+00:00,54.23,Defective product,system,True,cancelled,287.71,EUR,2026-08-20T23:01:59+00:00,2026-08-20T07:31:29+00:00,rauternick@example.net,,Katarina,Schmidl-Schenk,Veitgasse 05,,Frauenkirchen,,8648,AU,A_6,Product A-6,fashion product,A_V25,Product A-6 - Black - XS,A-P6-CBl-SXS,57.97,"{""color"": ""Black"", ""size"": ""XS""}",,,A_L32,1,57.97,54.23,10.846,54.23,10.846,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000010,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
b4ca115e-963a-4017-b551-86783b40cb24,746e9143-4d7e-42e9-b614-df8cb809297e,A_O13,A_R8,2025-01-15T01:52:15+00:00,77.14,Ordered by mistake,system,True,completed,523.01,EUR,2025-01-13T15:48:44+00:00,2025-01-13T08:07:20+00:00,filipaschenk@example.net,,Filippo,Berger,Wegmannstrasse 769,,Stäfa,,7724,SW,A_7,Product A-7,fashion product,A_V33,Product A-7 - Blue - XL,A-P7-CBl-SXL,91.28,"{""color"": ""Blue"", ""size"": ""XL""}",,,A_L44,1,91.28,77.14,15.428,77.14,15.428,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000013,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
9eb9ccc8-3958-46c4-afb9-0e183641f704,a3944cf5-98e5-4361-8696-f14d2ee54856,A_O14,A_R9,2025-08-04T16:52:27+00:00,502.24,Defective product,system,True,completed,774.01,EUR,2025-08-01T17:11:23+00:00,2025-08-01T09:55:09+00:00,filipaschenk@example.net,,Filippo,Berger,Wegmannstrasse 769,,Stäfa,,7724,SW,A_30,Product A-30,fashion product,A_V165,Product A-30 - Red - XXL,A-P30-CRe-SXX,189.23,"{""color"": ""Red"", ""size"": ""XXL""}",,,A_L48,3,189.23,502.24,100.44800000000001,502.24,100.44800000000001,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000014,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
2380fe30-f56b-4ec5-b5fd-5f52f32ab532,df4b4d8d-7fdc-426e-add0-dbf1fe0c6617,A_O18,A_R10,2027-06-19T05:07:49+00:00,158.45,Defective product,system,True,completed,441.59,EUR,2027-06-12T14:48:18+00:00,2027-06-12T06:40:46+00:00,wdorfer@example.org,,Christoph,Nagele,Pölzlstraße 8,,Ferlach,,3691,AU,A_24,Product A-24,fashion product,A_V126,Product A-24 - Black - S,A-P24-CBl-SS,173.04,"{""color"": ""Black"", ""size"": ""S""}",,,A_L59,1,173.04,158.45,31.689999999999998,158.45,31.689999999999998,EUR,standard,"{""vat_rate"": 0.2, ""tax_amount"": 0.0}",,00000000-0000-0000-0000-a00000000018,2025-10-22T15:45:27.783688+00:00,2025-10-22T15:45:27.783688+00:00,,fashion
